Année,Intitulé,Groupe,Sous-groupe,Type,Niveau,Cursus,Institut,Volume
2017,Physique,Sciences fondamentales,Physique,TD,L1,Licence,Université d'Angers,32
2018,Physique,Sciences fondamentales,Physique,TD,L1,Prépa,ESEO,16
2018,Physique,Sciences fondamentales,Physique,TP,L2,Licence,Université d'Angers,16
2019,Physique,Sciences fondamentales,Physique,TD,L1,Prépa,ESEO,32
2020,Maths,Sciences fondamentales,Maths,CM,L2,Bachelor,ESEO,32
2021,Responsable de l'option Biomédical,Administratif,Annexe,Annexe,M2,Ingénieur Etudiant,ESEO,20
2021,Physique,Sciences fondamentales,Physique,TD,L1,Prépa,ESEO,40
2021,Sciences de l'ingénieur,Sciences appliquées,SI,CM,L1,Prépa,ESEO,15
2021,Physique,Sciences fondamentales,Physique,CM,L2,Prépa,ESEO,21
2021,Suivi apprenti,Administratif,Annexe,Annexe,M1,Ingénieur Alternant,ESEO,2.5
2021,Couche physique des télécommunications,Sciences appliquées,Telecom,TP,L3,Ingénieur Etudiant,ESEO,14
2021,Mesures Physiques,Sciences fondamentales,Physique,CM,M1,Ingénieur Etudiant,ESEO,15
2021,Réseaux de Neurones,Sciences appliquées,Machine Learning,CM,M1,Ingénieur Etudiant,ESEO,24
2021,Séminaire d'anglais,Anglais,Annexe,Annexe,M1,Ingénieur Etudiant,ESEO,2.5
2021,Projet Industriel,Projet,Projet,Annexe,M2,Ingénieur Etudiant,ESEO,30
2021,Suivi contrat pro,Administratif,Annexe,Annexe,M2,Ingénieur Etudiant,ESEO,18
2021,IRM - RMN,Sciences appliquées,Biomédical,CM,M2,Ingénieur Etudiant,ESEO,7
2021,Electronique Analogique,Sciences appliquées,Electronique,TP,L1,Bachelor,ESEO,38.5
2021,E-santé,Sciences appliquées,Biomédical,CM,L2,Médecine,Université d'Angers,2
2021,Physique,Sciences fondamentales,Physique,CM,L2,Prépa,ESEO,52.5
2021,Physique,Sciences fondamentales,Physique,TD,L1,Prépa,ESEO,28
2021,Suivi apprenti,Administratif,Annexe,Annexe,M1,Ingénieur Alternant,ESEO,2.5
2021,Traitement numérique de l'image,Sciences appliquées,Image & Signal,TP,L3,Ingénieur Etudiant,ESEO,29
2021,Traitement numérique du signal,Sciences appliquées,Image & Signal,TP,L3,Ingénieur Etudiant,ESEO,35
2021,Traitement numérique de l'image,Sciences appliquées,Image & Signal,TP,M1,Ingénieur Etudiant,ESEO,3.5
2022,Sciences de l'ingénieur,Sciences appliquées,SI,CM,L1,Prépa,ESEO,15
2022,Maths,Sciences fondamentales,Maths,CM,L2,Bachelor,ESEO,46
2022,Suivi apprenti,Administratif,Annexe,Annexe,M1,Ingénieur Alternant,ESEO,10
2022,Réseaux de Neurones,Sciences appliquées,Machine Learning,CM,M1,Ingénieur Etudiant,ESEO,17.5
2022,Séminaire d'anglais,Anglais,Annexe,Annexe,M1,Ingénieur Etudiant,ESEO,2.5
2022,Traitement numérique de l'image,Sciences appliquées,Image & Signal,TP,M1,Ingénieur Etudiant,ESEO,7
2022,Projet Industriel,Projet,Projet,Annexe,M2,Ingénieur Etudiant,ESEO,25
2022,Suivi contrat pro,Administratif,Annexe,Annexe,M2,Ingénieur Etudiant,ESEO,12
2022,IRM - RMN,Sciences appliquées,Biomédical,CM,M2,Ingénieur Etudiant,ESEO,7
2022,Deep Learning,Sciences appliquées,Machine Learning,CM,M2,Ingénieur Etudiant,ESEO,14
2022,Deep Learning,Sciences appliquées,Machine Learning,TP,M2,Ingénieur Etudiant,ESEO,28
2022,Physique,Sciences fondamentales,Physique,CM,L2,Prépa,ESEO,56
2022,Electronics Basics,Sciences appliquées,Electronique,CM,M1,Master IMDEA,Université du Mans,12
2022,Maths,Sciences fondamentales,Maths,CM,L2,Bachelor,ESEO,46
2022,Suivi apprenti,Administratif,Annexe,Annexe,M1,Ingénieur Alternant,ESEO,10
2022,Traitement numérique de l'image,Sciences appliquées,Image & Signal,TP,L3,Ingénieur Etudiant,ESEO,29
2022,Traitement numérique du signal,Sciences appliquées,Image & Signal,TP,L3,Ingénieur Etudiant,ESEO,35
2022,E-santé,Sciences appliquées,Biomédical,Annexe,L2,Médecine,Université d'Angers,7
2022,Responsable de l'option Biomédical,Administratif,Annexe,Annexe,M2,Ingénieur Etudiant,ESEO,20
2023,Maths,Sciences fondamentales,Maths,CM,L2,Bachelor,ESEO,90
2023,Suivi apprenti,Administratif,Annexe,Annexe,M1,Ingénieur Alternant,ESEO,24
2023,Traitement numérique de l'image,Sciences appliquées,Image & Signal,TP,L3,Ingénieur Etudiant,ESEO,29
2023,Traitement numérique du signal,Sciences appliquées,Image & Signal,TP,L3,Ingénieur Etudiant,ESEO,35
2023,Deep Learning,Sciences appliquées,Machine Learning,CM,M2,Ingénieur Etudiant,ESEO,14
2023,Deep Learning,Sciences appliquées,Machine Learning,TP,M2,Ingénieur Etudiant,ESEO,28
2023,Séminaire d'anglais,Anglais,Annexe,Annexe,M1,Ingénieur Etudiant,ESEO,3.5
2023,IRM - RMN,Sciences appliquées,Biomédical,CM,M2,Ingénieur Etudiant,ESEO,7
